ID, Fullname, Gender, Birthday, Class
63456e5f-d45d-4106-9a47-258dcf4fac90, La Ngoc Nhu, Male, 6/12/2005,  863ba612-80ad-4804-abba-d81b3a108845
ad4a0114-7f74-42a3-8632-e256dfd33c9c, Tran Ngoc Dung, Male, 7/22/2005,  6b701c41-4424-4d64-b768-9099cbb992cf
38bab2e5-0b31-487b-b317-e84a50220764, Nguyen Thanh Huyen, Male, 7/12/2005,  f34d38a8-ab37-46a1-815f-598b96e044c3
61290f22-c697-4c94-946b-b305d03a2052, La Thu Uyen, Male, 7/10/2004,  c21039c9-53e7-4b5d-9360-c00ff3eaaacd
6893aef4-59d5-4170-8f1f-4abfcbd7a06c, Nguyen Anh Nhi, Female, 7/24/2005,  f34d38a8-ab37-46a1-815f-598b96e044c3
75a7a6e1-ed6b-4bbf-8e7d-082f2bb75103, Dinh Anh Oanh, Male, 11/27/2005,  f3bbfda1-5d31-416a-b994-1b18f09641e3
814335cb-c55f-441d-b839-a5b19fbdbdca, On Minh Giang, Female, 1/24/2005,  1b978340-e268-47c8-be62-9a5ba9889a2e
50812620-9d68-4ca0-9486-2bd0a6958fd3, On Minh Nhi, Male, 8/6/2005,  270e427f-1da8-4d3b-9045-fc949848eaa8
bd32293d-42dd-49e9-bd02-88e4c0616cf0, Tran Thanh Nhu, Male, 5/31/2005,  fcd90085-b3f0-4599-8bfb-8a33b6b87f65
d54c5b11-a4da-4b86-9e27-96109ca741dd, Pham Minh Huyen, Male, 7/24/2004,  6b701c41-4424-4d64-b768-9099cbb992cf
43a2a862-935e-4cfa-9fdf-34377c3f7d82, Dinh Minh Phuong, Female, 5/1/2004,  5aa9a6e8-2e5b-435e-8929-56cae2c3f3cb
205a7029-618e-4d88-b182-90a5af43121b, Nguyen Thanh Nhu, Male, 5/10/2006,  850a0810-2237-4def-8bee-13c96a33d626
71b6a108-fa51-4adb-bafc-8917ac620120, Dinh Thi Oanh, Female, 12/10/2005,  5aa9a6e8-2e5b-435e-8929-56cae2c3f3cb
662913f0-4cb4-4ed8-91d1-35b45df5ef67, Ly Thu Nhi, Female, 11/2/2005,  fca16876-5bbb-4a90-b8d2-ac7e0f119ba0
3230598c-e767-4008-aaa6-31155a9e8871, Pham Minh Dung, Female, 4/10/2006,  5aa9a6e8-2e5b-435e-8929-56cae2c3f3cb
e4ad9330-1ce2-414c-a549-899fef1a994c, La Anh Uyen, Female, 6/2/2006,  fca16876-5bbb-4a90-b8d2-ac7e0f119ba0
42f10e48-9f58-4c07-bd1d-a8203d66c284, Ly Thanh Uyen, Female, 11/5/2006,  f34d38a8-ab37-46a1-815f-598b96e044c3
13bf6d8f-2c97-44e7-858d-4ac7cf377a95, Pham Thanh Uyen, Male, 1/21/2005,  863ba612-80ad-4804-abba-d81b3a108845
64e7d88d-9a11-471a-9caa-518a2e5dc26e, Tran Thanh Giang, Male, 5/24/2004,  17b32cd3-f93a-44e2-a874-40e82d962847
2662b256-7a2c-41b3-bd09-7ba9d9b4b078, Ly Anh Van, Female, 1/31/2004,  f3bbfda1-5d31-416a-b994-1b18f09641e3
ad117830-0a16-4d49-8249-29e5b32efa78, Ngo Ngoc Giang, Female, 9/25/2005,  47916d99-f312-4fde-8a6b-cea5f73d4da2
d23ccdee-4332-4c72-88a6-b75a6814e424, Pham Thu Huyen, Female, 9/26/2005,  d28f8103-3469-4815-aa8d-3c4e8310939b
adf3d924-567e-4c49-8daf-ff8bdb2b1a62, Tran Anh Tam, Male, 10/2/2004,  fca16876-5bbb-4a90-b8d2-ac7e0f119ba0
19e72149-25d6-4022-9bde-6f5a8faabe4e, Ly Thanh Dung, Male, 3/23/2005,  863ba612-80ad-4804-abba-d81b3a108845
8fa15993-67cb-4f28-9613-65804258b541, On Minh Van, Male, 11/7/2006,  9edcdd74-37bb-4ff9-a2e7-d1d58475dd4c
7fe366f4-c92d-48d1-aac3-ccddd0e5d580, On Thu Nhi, Male, 5/12/2004,  9edcdd74-37bb-4ff9-a2e7-d1d58475dd4c
6fbb56f1-67ae-4145-ba25-f7fc536719b0, Tran Ngoc Phuong, Female, 10/20/2006,  47916d99-f312-4fde-8a6b-cea5f73d4da2
