UUID, Name, Birthday, Gender, Class
a9be5fc3-9629-473c-a0d8-1d6928095837, Lý Văn Anh, 11/07/2002, F, d62ee722-8868-46a3-863a-f60b51eccd96
88c7fd0d-b650-426b-a740-078d0022289f, Nguyễn Anh Minh, 15/01/2001, M, d62ee722-8868-46a3-863a-f60b51eccd96
ca140660-e69e-44b9-97d9-7bbf326cfbcf, Trần Hoàng Bảo Hòa, 31/10/2004, M, d62ee722-8868-46a3-863a-f60b51eccd96
c56fb247-338c-451e-bdf5-01e2a2c6b4cc, Nguyễn Hoàng Bảo Hòa, 19/11/2001, M, d62ee722-8868-46a3-863a-f60b51eccd96
79d96caa-a439-461a-a84c-17513cca91e6, Hồ Anh Phương, 10/10/2004, M, d62ee722-8868-46a3-863a-f60b51eccd96
468ebb94-00cd-4d0a-8ac0-4b370810960a, Hồ Hoàng Bảo Anh, 11/12/2000, F, 446e3d82-43de-421e-a396-7bfcc01883f8
f8e83417-6b21-4e12-8122-276c0cc89b07, Hồ Văn Anh, 24/02/2003, F, 446e3d82-43de-421e-a396-7bfcc01883f8
73393f3e-7290-4d03-b52e-716533a6eac3, Trần Thúy Uyên, 23/08/2001, F, 446e3d82-43de-421e-a396-7bfcc01883f8
d716efe3-76a2-40de-84b5-00f3bd27c1d4, Hồ Minh Đạt, 04/09/2002, M, 446e3d82-43de-421e-a396-7bfcc01883f8
4708ba81-8e77-46d9-9f31-4eac7bce01bb, Nguyễn Anh Hòa, 10/09/2002, M, 446e3d82-43de-421e-a396-7bfcc01883f8
6941806f-e834-4c55-b39c-3de7a1b26c01, Hồ Minh Minh, 12/04/2001, M, 446e3d82-43de-421e-a396-7bfcc01883f8
f9822bdd-2e21-42dd-85b6-1f61613bc33f, Lê Thị Khánh, 08/10/2002, M, 446e3d82-43de-421e-a396-7bfcc01883f8
ca84253e-78e1-4108-8d1d-6c46c1f86fda, Hồ Anh Đạt, 01/05/2000, M, 446e3d82-43de-421e-a396-7bfcc01883f8
510e071f-57db-4913-98d0-9415402f39e0, Lý Anh Anh, 24/04/2002, M, 446e3d82-43de-421e-a396-7bfcc01883f8
d495c1e4-d216-4889-8c2c-78b780a1b6c5, Lê Văn Khánh, 06/02/2002, M, 446e3d82-43de-421e-a396-7bfcc01883f8
3a8409cf-9bd2-46ec-8004-130282dd2456, Trần Văn Minh, 18/09/2000, F, 446e3d82-43de-421e-a396-7bfcc01883f8
8003886f-0cee-49bf-8614-281cdeaf2908, Nguyễn Thúy Phương, 02/03/2001, F, 446e3d82-43de-421e-a396-7bfcc01883f8
e8fdb1fa-caeb-4678-b336-f64ad4037b32, Lý Minh Anh, 18/10/2002, M, 446e3d82-43de-421e-a396-7bfcc01883f8
9ed56adb-c936-47e9-b403-959c1a3297c5, Hồ Thị Minh, 15/11/2002, M, 446e3d82-43de-421e-a396-7bfcc01883f8
09097880-11e4-4fc6-9f5c-82da35fa3b34, Hồ Anh Khánh, 28/06/2000, F, 446e3d82-43de-421e-a396-7bfcc01883f8
d3ec81c6-3f04-4917-ad85-3d88b804800d, Lê Văn Đạt, 30/03/2001, M, 446e3d82-43de-421e-a396-7bfcc01883f8
3258c4b9-3187-4d25-91c1-0e15ac1cc0e1, Võ Hoàng Bảo Minh, 19/09/2001, M, 446e3d82-43de-421e-a396-7bfcc01883f8
6310b14f-2b51-4f79-b725-ac383c127207, Nguyễn Văn Hòa, 20/08/2004, M, 446e3d82-43de-421e-a396-7bfcc01883f8
c3c68d01-6e38-4d89-906c-8e41f0241f6d, Võ Thị Long, 04/02/2004, M, 446e3d82-43de-421e-a396-7bfcc01883f8
0a617951-2cba-4002-9a45-bb87ebd0bedd, Trần Văn Phương, 22/07/2003, F, 446e3d82-43de-421e-a396-7bfcc01883f8
ad3dc96b-3587-4b4b-b06b-604771392a9d, Nguyễn Hoàng Bảo Khánh, 02/05/2002, F, 446e3d82-43de-421e-a396-7bfcc01883f8
c571ce2d-8377-4e2b-9c08-cff1f2ae8814, Nguyễn Thúy Khánh, 28/03/2003, F, 446e3d82-43de-421e-a396-7bfcc01883f8
57f2f722-5a93-478d-8a76-1e9559691059, Nguyễn Anh Khánh, 02/03/2000, M, 446e3d82-43de-421e-a396-7bfcc01883f8
5b89ce5c-da0f-47d6-8e15-46cb8d8d7d2f, Hồ Anh Minh, 27/08/2003, F, 446e3d82-43de-421e-a396-7bfcc01883f8
324b1ba1-06c8-479e-836a-ff37a588a78b, Nguyễn Hoàng Bảo Long, 03/12/2004, M, 446e3d82-43de-421e-a396-7bfcc01883f8
e5e46f40-61b8-4520-bdc6-aee054108a9b, Trần Minh Long, 18/11/2000, M, 446e3d82-43de-421e-a396-7bfcc01883f8
9172dc82-048b-45f2-bfc5-cdb2b55de33e, Hồ Hoàng Bảo Phương, 15/03/2003, F, 446e3d82-43de-421e-a396-7bfcc01883f8
a927ac73-ffe0-4cc4-a527-c9d17f9ca9dd, Lê Minh Đạt, 05/09/2004, M, 446e3d82-43de-421e-a396-7bfcc01883f8
443606c6-d3be-4383-a546-2638980afba8, Trần Anh Vân, 06/07/2003, F, 446e3d82-43de-421e-a396-7bfcc01883f8
6f6a7292-6ca1-4d26-8326-190035d12788, Lý Thị Khánh, 22/04/2003, F, 446e3d82-43de-421e-a396-7bfcc01883f8
75bedd6c-5475-43ea-96df-6bcc1ef77c9d, Lê Hoàng Bảo Minh, 14/07/2000, F, 446e3d82-43de-421e-a396-7bfcc01883f8
28534238-3287-4aa8-afe5-a447ace51732, Hồ Hoàng Bảo Trang, 21/09/2003, F, 446e3d82-43de-421e-a396-7bfcc01883f8
a33d1ed6-014c-40cd-a0e5-57507f5914d8, Hồ Minh Vân, 15/07/2003, F, 446e3d82-43de-421e-a396-7bfcc01883f8
50a50fa1-294d-4cdf-b25e-b14d11d5eae1, Lý Thúy Minh, 02/09/2004, M, 446e3d82-43de-421e-a396-7bfcc01883f8
b880788f-6427-473c-bc69-ac930095f92d, Hồ Minh Minh, 29/01/2000, M, 446e3d82-43de-421e-a396-7bfcc01883f8
81df53bf-5a1d-4148-8a07-6866944cdee0, Nguyễn Minh Hòa, 01/10/2002, M, 446e3d82-43de-421e-a396-7bfcc01883f8
1c0836b8-1dd4-4f6d-873c-7cce8e11ffcd, Nguyễn Thúy Trang, 02/07/2003, F, 446e3d82-43de-421e-a396-7bfcc01883f8
0ce00e66-e720-48ba-b386-56384983cbbb, Lê Thị Minh, 29/05/2000, M, 446e3d82-43de-421e-a396-7bfcc01883f8
ee8b108b-3a9d-4129-9449-dd0149a97716, Lê Thị Khánh, 18/11/2000, F, 446e3d82-43de-421e-a396-7bfcc01883f8
e3b51ec9-ee49-4ddb-a877-3c879b790080, Hồ Minh Trang, 25/03/2000, F, 446e3d82-43de-421e-a396-7bfcc01883f8
885f3036-065f-4a1c-9962-5f600e71832f, Hồ Hoàng Bảo Khánh, 16/07/2000, F, 446e3d82-43de-421e-a396-7bfcc01883f8
4813b624-3b5c-4536-9d9f-fd2890ff74d1, Võ Hoàng Bảo Khánh, 20/05/2004, F, 446e3d82-43de-421e-a396-7bfcc01883f8
f0d30a27-9d5d-4316-85fd-26d3b8c60b7f, Nguyễn Văn Minh, 13/08/2003, F, 96f210d3-aa70-4c81-a3e7-86e8675c7dcc
5de8eb9d-8106-4f7c-9818-43411b4033c8, Hồ Văn Phương, 15/01/2000, M, 96f210d3-aa70-4c81-a3e7-86e8675c7dcc
fcbc2a57-8896-463c-97f4-510516d5dd24, Võ Thúy Trang, 01/04/2001, F, 96f210d3-aa70-4c81-a3e7-86e8675c7dcc
142eb6bb-2f53-4897-8bbc-d5da07faed21, Lý Anh Minh, 16/05/1999, F, 96f210d3-aa70-4c81-a3e7-86e8675c7dcc
8a985acc-433e-4887-bb60-9a20cad788a0, Nguyễn Minh Khánh, 03/01/2000, M, 96f210d3-aa70-4c81-a3e7-86e8675c7dcc
180699dc-2967-45e9-a3f8-149fc21ff5dd, Trần Minh Hòa, 12/07/2000, M, 96f210d3-aa70-4c81-a3e7-86e8675c7dcc
b16d967d-b4c1-4425-92ff-7aee93516c2f, Võ Hoàng Bảo Trang, 23/04/2002, F, 96f210d3-aa70-4c81-a3e7-86e8675c7dcc
a70f5c6f-530a-4211-bac9-b117e288b87e, Nguyễn Thị Khánh, 13/02/2001, F, 96f210d3-aa70-4c81-a3e7-86e8675c7dcc
4224dd9d-242d-491a-8812-c84c6dbebb43, Hồ Anh Đạt, 12/05/1999, M, 96f210d3-aa70-4c81-a3e7-86e8675c7dcc
b2727e49-7769-4d08-b61a-89057cfc437f, Trần Thúy Hòa, 23/04/2003, M, 96f210d3-aa70-4c81-a3e7-86e8675c7dcc
a0dcfdc5-9ab4-4a7d-8ffd-c8a62e2c1182, Hồ Thị Vân, 20/04/2001, F, 96f210d3-aa70-4c81-a3e7-86e8675c7dcc
a5a21c1d-c6bd-4152-a820-c1b0be2b0738, Lý Thúy Uyên, 07/01/2003, F, 96f210d3-aa70-4c81-a3e7-86e8675c7dcc
a6e773c1-0775-4980-b929-dfde01ab939f, Nguyễn Minh Long, 18/01/2002, M, 96f210d3-aa70-4c81-a3e7-86e8675c7dcc
97789d86-8cc5-4881-8aa9-6d95bcb50451, Hồ Văn Phương, 09/02/1999, F, 96f210d3-aa70-4c81-a3e7-86e8675c7dcc
647ec3f1-e107-4f8f-b78e-5e82508646b5, Hồ Thúy Phương, 13/08/1999, M, 96f210d3-aa70-4c81-a3e7-86e8675c7dcc
ef54b540-2939-47d1-9949-e47320969537, Nguyễn Anh Minh, 11/05/2003, F, 96f210d3-aa70-4c81-a3e7-86e8675c7dcc
77ac82c3-9655-419e-a64f-cf5bd9d0ec45, Võ Thúy Khánh, 09/10/2003, M, 96f210d3-aa70-4c81-a3e7-86e8675c7dcc
f98a5a43-d66b-45c4-9f2b-ce66515cc21e, Nguyễn Minh Khánh, 31/01/2001, M, 96f210d3-aa70-4c81-a3e7-86e8675c7dcc
6bfda70c-b4d8-448f-a526-443aea1c21b2, Trần Hoàng Bảo Anh, 18/01/2001, M, 96f210d3-aa70-4c81-a3e7-86e8675c7dcc
8521d6fc-4de7-460f-8571-8ab283deda26, Trần Thúy Long, 12/07/1999, M, 96f210d3-aa70-4c81-a3e7-86e8675c7dcc
f3b12d28-fd08-484b-9a2a-ca38a4d29994, Võ Minh Minh, 19/07/2002, M, 96f210d3-aa70-4c81-a3e7-86e8675c7dcc
836423bf-de5c-42fc-bab4-6d62a11108bd, Võ Văn Phương, 30/03/2003, M, 96f210d3-aa70-4c81-a3e7-86e8675c7dcc
20965fa2-83fc-4c79-923d-eb598870ec48, Võ Văn Vân, 18/01/2001, F, 96f210d3-aa70-4c81-a3e7-86e8675c7dcc
21c178d6-0928-4459-a563-ee986eefcc28, Lý Thúy Minh, 10/01/2003, F, 96f210d3-aa70-4c81-a3e7-86e8675c7dcc
e788872b-a71b-4a11-b62f-368adfbd32e6, Nguyễn Minh Vân, 18/07/1999, F, 96f210d3-aa70-4c81-a3e7-86e8675c7dcc
104275c6-1806-4c01-9fa9-c08026150437, Nguyễn Hoàng Bảo Minh, 28/12/2003, M, 96f210d3-aa70-4c81-a3e7-86e8675c7dcc
1583a2cb-efc3-4b1d-a56b-94a8a6d3af81, Võ Anh Thành, 06/06/2000, M, 96f210d3-aa70-4c81-a3e7-86e8675c7dcc
a5aacee0-283c-4bb2-ba65-78d06a43b4c1, Lê Thị Đạt, 24/11/2000, M, 96f210d3-aa70-4c81-a3e7-86e8675c7dcc
fcd385f3-58ad-4f41-ab58-04dacd0c348b, Nguyễn Thúy Hòa, 18/02/1999, M, 96f210d3-aa70-4c81-a3e7-86e8675c7dcc
e49dcea8-e90b-4875-b7aa-7f4a65a0b14f, Trần Thúy Uyên, 17/10/2001, F, 96f210d3-aa70-4c81-a3e7-86e8675c7dcc
427fcf79-e2c9-42c5-8606-baa7ef27edd6, Lê Thúy Anh, 10/07/2003, F, 96f210d3-aa70-4c81-a3e7-86e8675c7dcc
4caacc0d-0d91-4235-917f-7682e58a814d, Nguyễn Anh Phương, 28/05/1999, F, 96f210d3-aa70-4c81-a3e7-86e8675c7dcc
28d2277e-bf50-4717-88d1-656b44e832dd, Lê Văn Anh, 21/05/2003, M, 96f210d3-aa70-4c81-a3e7-86e8675c7dcc
d1d37b06-4667-4cf7-a587-7869c0cd8d8e, Trần Minh Thành, 25/07/1999, M, 96f210d3-aa70-4c81-a3e7-86e8675c7dcc
e730f955-2e23-40e9-8efe-11c162dce829, Nguyễn Anh Phương, 25/12/1999, M, 96f210d3-aa70-4c81-a3e7-86e8675c7dcc
0aedac51-6e94-433b-bf23-04781a8db72f, Lê Anh Trang, 26/11/2003, F, 96f210d3-aa70-4c81-a3e7-86e8675c7dcc
b5becb84-e4b6-4226-afe7-7a48f30eb72f, Trần Thúy Anh, 16/07/2000, F, 96f210d3-aa70-4c81-a3e7-86e8675c7dcc
d4a43a7c-d14e-4aef-bf6f-de4947bc08cf, Trần Minh Anh, 02/06/2002, F, 96f210d3-aa70-4c81-a3e7-86e8675c7dcc
40b3d24f-9633-4179-b42e-03ddaa4f0690, Hồ Văn Khánh, 06/06/2003, F, 96f210d3-aa70-4c81-a3e7-86e8675c7dcc
50d9c5ce-f9fd-4841-a495-8a9e51032d7d, Trần Thúy Khánh, 21/07/2003, F, 96f210d3-aa70-4c81-a3e7-86e8675c7dcc
42bef1dd-043a-4541-a0b9-2d99a14f1cb4, Lê Thúy Vân, 20/08/2003, F, 96f210d3-aa70-4c81-a3e7-86e8675c7dcc
1b1a8288-8f0c-4a13-81e8-d345c82d4bd2, Trần Thúy Phương, 08/03/2003, F, 96f210d3-aa70-4c81-a3e7-86e8675c7dcc
6721e255-d13f-4314-ac80-c64750fbdf2a, Võ Minh Minh, 09/11/2000, F, 96f210d3-aa70-4c81-a3e7-86e8675c7dcc
